Name,Possible Value,Increment,Unit,Range,Read Only,Title,Description,,,,,,
COMPASS_AUTODEC,1,,Binary,0:Disabled 1:Enabled,FALSE,,Enable or disable the automatic calculation of the declination based on gps location,1,1,MAV_PARAM_UNIT.Binary,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"COMPASS_AUTODEC(1,1,MAV_PARAM_UNIT.Binary,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""Enable or disable the automatic calculation of the declination based on gps location""),"
COMPASS_DEC,0.06941485,,Radians,-3.142 3.142,FALSE,,An angle to compensate between the true north and magnetic north,0.06941485,1,MAV_PARAM_UNIT.Radians,"-3.142,3.142",true,"COMPASS_DEC(0.06941485,1,MAV_PARAM_UNIT.Radians,-3.142,3.142,true,"""",""An angle to compensate between the true north and magnetic north""),"
COMPASS_EXTERNAL,0,,List,0:Internal 1:External 2:ForcedExternal,FALSE,,Configure compass so it is attached externally. This is auto-detected on PX4 and Pixhawk. Set to 1 if the compass is externally connected. When externally connected the COMPASS_ORIENT option operates independently of the AHRS_ORIENTATION board orientation option. If set to 0 or 1 then auto-detection by bus connection can override the value. If set to 2 then auto-detection will be disabled.,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Internal"");put(1,""External"");put(2,""ForcedExternal"");}};",true,"COMPASS_EXTERNAL(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Internal"");put(1,""External"");put(2,""ForcedExternal"");}};,true,"""",""Configure compass so it is attached externally. This is auto-detected on PX4 and Pixhawk. Set to 1 if the compass is externally connected. When externally connected the COMPASS_ORIENT option operates independently of the AHRS_ORIENTATION board orientation option. If set to 0 or 1 then auto-detection by bus connection can override the value. If set to 2 then auto-detection will be disabled.""),"
COMPASS_LEARN,0,,List,0:Disabled 1:Internal-Learning 2:EKF-Learning,FALSE,,Enable or disable the automatic learning of compass offsets. You can enable learning either using a compass-only method that is suitable only for fixed wing aircraft or using the offsets learnt by the active EKF state estimator. If this option is enabled then the learnt offsets are saved when you disarm the vehicle.,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Internal-Learning"");put(2,""EKF-Learning"");}};",true,"COMPASS_LEARN(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Internal-Learning"");put(2,""EKF-Learning"");}};,true,"""",""Enable or disable the automatic learning of compass offsets. You can enable learning either using a compass-only method that is suitable only for fixed wing aircraft or using the offsets learnt by the active EKF state estimator. If this option is enabled then the learnt offsets are saved when you disarm the vehicle.""),"
COMPASS_MOT_X,0,,Offset per Amp or at Full Throttle,-1000 1000,FALSE,,Multiplied by the current throttle and added to the compass's x-axis values to compensate for motor interference,0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,"-1000,1000",true,"COMPASS_MOT_X(0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,-1000,1000,true,"""",""Multiplied by the current throttle and added to the compass's x-axis values to compensate for motor interference""),"
COMPASS_MOT_Y,0,,Offset per Amp or at Full Throttle,-1000 1000,FALSE,,Multiplied by the current throttle and added to the compass's y-axis values to compensate for motor interference,0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,"-1000,1000",true,"COMPASS_MOT_Y(0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,-1000,1000,true,"""",""Multiplied by the current throttle and added to the compass's y-axis values to compensate for motor interference""),"
COMPASS_MOT_Z,0,,Offset per Amp or at Full Throttle,-1000 1000,FALSE,,Multiplied by the current throttle and added to the compass's z-axis values to compensate for motor interference,0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,"-1000,1000",true,"COMPASS_MOT_Z(0,1,MAV_PARAM_UNIT.Offset per Amp or at Full Throttle,-1000,1000,true,"""",""Multiplied by the current throttle and added to the compass's z-axis values to compensate for motor interference""),"
COMPASS_MOTCT,0,,List,0:Disabled 1:UseThrottle 2:UseCurrent,FALSE,,"Set motor interference compensation type to disabled, throttle or current. Do not change manually.",0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""UseThrottle"");put(2,""UseCurrent"");}};",true,"COMPASS_MOTCT(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""UseThrottle"");put(2,""UseCurrent"");}};,true,"""",""Set motor interference compensation type to disabled, throttle or current. Do not change manually.""),"
COMPASS_OFS_X,-98,,Milligauss,-400 400,FALSE,,Offset to be added to the compass x-axis values to compensate for metal in the frame,-98,1,MAV_PARAM_UNIT.Milligauss,"-400,400",true,"COMPASS_OFS_X(-98,1,MAV_PARAM_UNIT.Milligauss,-400,400,true,"""",""Offset to be added to the compass x-axis values to compensate for metal in the frame""),"
COMPASS_OFS_Y,29,,Milligauss,-400 400,FALSE,,Offset to be added to the compass y-axis values to compensate for metal in the frame,29,1,MAV_PARAM_UNIT.Milligauss,"-400,400",true,"COMPASS_OFS_Y(29,1,MAV_PARAM_UNIT.Milligauss,-400,400,true,"""",""Offset to be added to the compass y-axis values to compensate for metal in the frame""),"
COMPASS_OFS_Z,-18,,Milligauss,-400 400,FALSE,,Offset to be added to the compass z-axis values to compensate for metal in the frame,-18,1,MAV_PARAM_UNIT.Milligauss,"-400,400",true,"COMPASS_OFS_Z(-18,1,MAV_PARAM_UNIT.Milligauss,-400,400,true,"""",""Offset to be added to the compass z-axis values to compensate for metal in the frame""),"
COMPASS_ORIENT,0,,List,0:None 1:Yaw45 2:Yaw90 3:Yaw135 4:Yaw180 5:Yaw225 6:Yaw270 7:Yaw315 8:Roll180 9:Roll180Yaw45 10:Roll180Yaw90 11:Roll180Yaw135 12:Pitch180 13:Roll180Yaw225 14:Roll180Yaw270 15:Roll180Yaw315 16:Roll90 17:Roll90Yaw45 18:Roll90Yaw90 19:Roll90Yaw135 20:Roll270 21:Roll270Yaw45 22:Roll270Yaw90 23:Roll270Yaw136 24:Pitch90 25:Pitch270 26:Pitch180Yaw90 27:Pitch180Yaw270 28:Roll90Pitch90 29:Roll180Pitch90 30:Roll270Pitch90 31:Roll90Pitch180 32:Roll270Pitch180 33:Roll90Pitch270 34:Roll180Pitch270 35:Roll270Pitch270 36:Roll90Pitch180Yaw90 37:Roll90Yaw270 38:Yaw293Pitch68Roll90,FALSE,,"The orientation of the compass relative to the autopilot board. This will default to the right value for each board type, but can be changed if you have an external compass. See the documentation for your external compass for the right value. The correct orientation should give the X axis forward, the Y axis to the right and the Z axis down. So if your aircraft is pointing west it should show a positive value for the Y axis, and a value close to zero for the X axis. On a PX4 or Pixhawk with an external compass the correct value is zero if the compass is correctly oriented. NOTE: This orientation is combined with any AHRS_ORIENTATION setting.",0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""None"");put(1,""Yaw45"");put(2,""Yaw90"");put(3,""Yaw135"");put(4,""Yaw180"");put(5,""Yaw225"");put(6,""Yaw270"");put(7,""Yaw315"");put(8,""Roll180"");put(9,""Roll180Yaw45"");put(10,""Roll180Yaw90"");put(11,""Roll180Yaw135"");put(12,""Pitch180"");put(13,""Roll180Yaw225"");put(14,""Roll180Yaw270"");put(15,""Roll180Yaw315"");put(16,""Roll90"");put(17,""Roll90Yaw45"");put(18,""Roll90Yaw90"");put(19,""Roll90Yaw135"");put(20,""Roll270"");put(21,""Roll270Yaw45"");put(22,""Roll270Yaw90"");put(23,""Roll270Yaw136"");put(24,""Pitch90"");put(25,""Pitch270"");put(26,""Pitch180Yaw90"");put(27,""Pitch180Yaw270"");put(28,""Roll90Pitch90"");put(29,""Roll180Pitch90"");put(30,""Roll270Pitch90"");put(31,""Roll90Pitch180"");put(32,""Roll270Pitch180"");put(33,""Roll90Pitch270"");put(34,""Roll180Pitch270"");put(35,""Roll270Pitch270"");put(36,""Roll90Pitch180Yaw90"");put(37,""Roll90Yaw270"");put(38,""Yaw293Pitch68Roll90"");}};",true,"COMPASS_ORIENT(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""None"");put(1,""Yaw45"");put(2,""Yaw90"");put(3,""Yaw135"");put(4,""Yaw180"");put(5,""Yaw225"");put(6,""Yaw270"");put(7,""Yaw315"");put(8,""Roll180"");put(9,""Roll180Yaw45"");put(10,""Roll180Yaw90"");put(11,""Roll180Yaw135"");put(12,""Pitch180"");put(13,""Roll180Yaw225"");put(14,""Roll180Yaw270"");put(15,""Roll180Yaw315"");put(16,""Roll90"");put(17,""Roll90Yaw45"");put(18,""Roll90Yaw90"");put(19,""Roll90Yaw135"");put(20,""Roll270"");put(21,""Roll270Yaw45"");put(22,""Roll270Yaw90"");put(23,""Roll270Yaw136"");put(24,""Pitch90"");put(25,""Pitch270"");put(26,""Pitch180Yaw90"");put(27,""Pitch180Yaw270"");put(28,""Roll90Pitch90"");put(29,""Roll180Pitch90"");put(30,""Roll270Pitch90"");put(31,""Roll90Pitch180"");put(32,""Roll270Pitch180"");put(33,""Roll90Pitch270"");put(34,""Roll180Pitch270"");put(35,""Roll270Pitch270"");put(36,""Roll90Pitch180Yaw90"");put(37,""Roll90Yaw270"");put(38,""Yaw293Pitch68Roll90"");}};,true,"""",""The orientation of the compass relative to the autopilot board. This will default to the right value for each board type, but can be changed if you have an external compass. See the documentation for your external compass for the right value. The correct orientation should give the X axis forward, the Y axis to the right and the Z axis down. So if your aircraft is pointing west it should show a positive value for the Y axis, and a value close to zero for the X axis. On a PX4 or Pixhawk with an external compass the correct value is zero if the compass is correctly oriented. NOTE: This orientation is combined with any AHRS_ORIENTATION setting.""),"
COMPASS_USE,1,,List,0:Disabled 1:Enabled,FALSE,,Enable or disable the use of the compass (instead of the GPS) for determining heading,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"COMPASS_USE(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""Enable or disable the use of the compass (instead of the GPS) for determining heading""),"
DCM_CHECK_THRESH,0.8,,,,FALSE,,Coming soon,0.8,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"DCM_CHECK_THRESH(0.8,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
EKF_CHECK_THRESH,0.8,,,,FALSE,,Coming soon,0.8,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"EKF_CHECK_THRESH(0.8,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
ESC,0,,,,FALSE,,Coming soon,0,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"ESC(0,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
FENCE_ACTION,1,,List,0:ReportOnly 1:RTL-or-Land,FALSE,,What action should be taken when fence is breached,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""ReportOnly"");put(1,""RTL-or-Land"");}};",true,"FENCE_ACTION(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""ReportOnly"");put(1,""RTL-or-Land"");}};,true,"""",""What action should be taken when fence is breached""),"
FENCE_ALT_MAX,100,,Meters,-328443,FALSE,,Maximum altitude allowed before geofence triggers,100,1,MAV_PARAM_UNIT.Meters,-328443,true,"FENCE_ALT_MAX(100,1,MAV_PARAM_UNIT.Meters,-328443,true,"""",""Maximum altitude allowed before geofence triggers""),"
FENCE_ENABLE,1,,List,0:Disabled 1:Enabled,FALSE,,Allows you to enable (1) or disable (0) the fence functionality,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"FENCE_ENABLE(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""Allows you to enable (1) or disable (0) the fence functionality""),"
FENCE_MARGIN,2,,Meters,I43475,FALSE,,Distance that autopilot's should maintain from the fence to avoid a breach,2,1,MAV_PARAM_UNIT.Meters,I43475,true,"FENCE_MARGIN(2,1,MAV_PARAM_UNIT.Meters,I43475,true,"""",""Distance that autopilot's should maintain from the fence to avoid a breach""),"
FENCE_RADIUS,300,,Meters,30 10000,FALSE,,Circle fence radius which when breached will cause an RTL,300,1,MAV_PARAM_UNIT.Meters,"30,10000",true,"FENCE_RADIUS(300,1,MAV_PARAM_UNIT.Meters,30,10000,true,"""",""Circle fence radius which when breached will cause an RTL""),"
FENCE_TYPE,1,,List,0:None 1:Altitude 2:Circle 3:AltitudeAndCircle 4:Polygon 5:AltitudeAndPolygon 6:CircleAndPolygon 7:All,FALSE,,Enabled fence types held as bitmask,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""None"");put(1,""Altitude"");put(2,""Circle"");put(3,""AltitudeAndCircle"");put(4,""Polygon"");put(5,""AltitudeAndPolygon"");put(6,""CircleAndPolygon"");put(7,""All"");}};",true,"FENCE_TYPE(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""None"");put(1,""Altitude"");put(2,""Circle"");put(3,""AltitudeAndCircle"");put(4,""Polygon"");put(5,""AltitudeAndPolygon"");put(6,""CircleAndPolygon"");put(7,""All"");}};,true,"""",""Enabled fence types held as bitmask""),"
FLOW_ENABLE,0,,List,0:Disabled 1:Enabled,FALSE,,Setting this to Enabled(1) will enable optical flow. Setting this to Disabled(0) will disable optical flow,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};",true,"FLOW_ENABLE(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled"");}};,true,"""",""Setting this to Enabled(1) will enable optical flow. Setting this to Disabled(0) will disable optical flow""),"
FLTMODE1,0,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,Flight mode when Channel 5 pwm is <= 1230,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE1(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is <= 1230""),"
FLTMODE2,0,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,"Flight mode when Channel 5 pwm is >1230, <= 1360",0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE2(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is >1230, <= 1360""),"
FLTMODE3,16,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,"Flight mode when Channel 5 pwm is >1360, <= 1490",16,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE3(16,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is >1360, <= 1490""),"
FLTMODE4,16,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,"Flight mode when Channel 5 pwm is >1490, <= 1620",16,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE4(16,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is >1490, <= 1620""),"
FLTMODE5,6,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,"Flight mode when Channel 5 pwm is >1620, <= 1749",6,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE5(6,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is >1620, <= 1749""),"
FLTMODE6,6,,List,0:Stabilize 1:Acro 2:AltHold 3:Auto 4:Guided 5:Loiter 6:RTL 7:Circle 9:Land 11:Drift 13:Sport 14:Flip 15:AutoTune 16:PosHold 17:Brake 18:Throw 19:Avoid_ADSB 20:Guided_NoGPS,FALSE,,Flight mode when Channel 5 pwm is >=1750,6,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};",true,"FLTMODE6(6,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Stabilize"");put(1,""Acro"");put(2,""AltHold"");put(3,""Auto"");put(4,""Guided"");put(5,""Loiter"");put(6,""RTL"");put(7,""Circle"");put(9,""Land"");put(11,""Drift"");put(13,""Sport"");put(14,""Flip"");put(15,""AutoTune"");put(16,""PosHold"");put(17,""Brake"");put(18,""Throw"");put(19,""Avoid_ADSB"");put(20,""Guided_NoGPS"");}};,true,"""",""Flight mode when Channel 5 pwm is >=1750""),"
FRAME,1,,List,0:Plus 1:X 2:V 3:H 4:V-Tail 5:A-Tail 10:Y6B (New),FALSE,,Controls motor mixing for multicopters. Not used for Tri or Traditional Helicopters.,1,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Plus"");put(1,""X"");put(2,""V"");put(3,""H"");put(4,""V-Tail"");put(5,""A-Tail"");put(10,""Y6B"");put((New)"");}};",true,"FRAME(1,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Plus"");put(1,""X"");put(2,""V"");put(3,""H"");put(4,""V-Tail"");put(5,""A-Tail"");put(10,""Y6B"");put((New)"");}};,true,"""",""Controls motor mixing for multicopters. Not used for Tri or Traditional Helicopters.""),"
FS_BATT_ENABLE,0,,List,0:Disabled 1:Land 2:RTL,FALSE,,Controls whether failsafe will be invoked when battery voltage or current runs low,0,1,MAV_PARAM_UNIT.List,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Land"");put(2,""RTL"");}};",true,"FS_BATT_ENABLE(0,1,MAV_PARAM_UNIT.List,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Land"");put(2,""RTL"");}};,true,"""",""Controls whether failsafe will be invoked when battery voltage or current runs low""),"
FS_BATT_MAH,0,,mAh,,FALSE,,Battery capacity remaining to trigger failsafe. Set to 0 to disable battery remaining failsafe. If the battery remaining drops below this level then the copter will RTL,0,1,MAV_PARAM_UNIT.mAh,null,true,"FS_BATT_MAH(0,1,MAV_PARAM_UNIT.mAh,null,true,"""",""Battery capacity remaining to trigger failsafe. Set to 0 to disable battery remaining failsafe. If the battery remaining drops below this level then the copter will RTL""),"
FS_BATT_VOLTAGE,14,,Volts,,FALSE,,Battery voltage to trigger failsafe. Set to 0 to disable battery voltage failsafe. If the battery voltage drops below this voltage then the copter will RTL,14,1,MAV_PARAM_UNIT.Volts,null,true,"FS_BATT_VOLTAGE(14,1,MAV_PARAM_UNIT.Volts,null,true,"""",""Battery voltage to trigger failsafe. Set to 0 to disable battery voltage failsafe. If the battery voltage drops below this voltage then the copter will RTL""),"
FS_GCS_ENABLE,0,,,0:Disabled 1:Enabled_always_RTL 2:Enabled_Continue_with_Mission_in_Auto_Mode,FALSE,,Controls whether failsafe will be invoked (and what action to take) when connection with Ground station is lost for at least 5 seconds. NB. The GCS Failsafe is only active when RC_OVERRIDE is being used to control the vehicle.,0,1,MAV_PARAM_UNIT.UNKNOWN,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled_always_RTL"");put(2,""Enabled_Continue_with_Mission_in_Auto_Mode"");}};",true,"FS_GCS_ENABLE(0,1,MAV_PARAM_UNIT.UNKNOWN,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled_always_RTL"");put(2,""Enabled_Continue_with_Mission_in_Auto_Mode"");}};,true,"""",""Controls whether failsafe will be invoked (and what action to take) when connection with Ground station is lost for at least 5 seconds. NB. The GCS Failsafe is only active when RC_OVERRIDE is being used to control the vehicle.""),"
FS_GPS_ENABLE,1,,,,FALSE,,Coming soon,1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"FS_GPS_ENABLE(1,1,MAV_PARAM_UNIT.UNKNOWN,null,true,"""",""Coming soon""),"
FS_THR_ENABLE,1,,,0:Disabled 1:Enabled_Always_RTL 2:Enabled_Continue_with_Mission_in_Auto_Mode 3:Enabled_Always_LAND,FALSE,,The throttle failsafe allows you to configure a software failsafe activated by a setting on the throttle input channel,1,1,MAV_PARAM_UNIT.UNKNOWN,"new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled_Always_RTL"");put(2,""Enabled_Continue_with_Mission_in_Auto_Mode"");put(3,""Enabled_Always_LAND"");}};",true,"FS_THR_ENABLE(1,1,MAV_PARAM_UNIT.UNKNOWN,new HashMap<Integer, String>(){{put(0,""Disabled"");put(1,""Enabled_Always_RTL"");put(2,""Enabled_Continue_with_Mission_in_Auto_Mode"");put(3,""Enabled_Always_LAND"");}};,true,"""",""The throttle failsafe allows you to configure a software failsafe activated by a setting on the throttle input channel""),"
FS_THR_VALUE,975,,PWM,925 1100,FALSE,,The PWM level on channel 3 below which throttle failsafe triggers,975,1,MAV_PARAM_UNIT.PWM,"925,1100",true,"FS_THR_VALUE(975,1,MAV_PARAM_UNIT.PWM,925,1100,true,"""",""The PWM level on channel 3 below which throttle failsafe triggers""),"
GND_ABS_PRESS,50362.25,,Pascals,,FALSE,,calibrated ground pressure in Pascals,50362.25,1,MAV_PARAM_UNIT.Pascals,null,true,"GND_ABS_PRESS(50362.25,1,MAV_PARAM_UNIT.Pascals,null,true,"""",""calibrated ground pressure in Pascals""),"
GND_ALT_OFFSET,0,,Meters,,FALSE,,altitude offset in meters added to barometric altitude. This is used to allow for automatic adjustment of the base barometric altitude by a ground station equipped with a barometer. The value is added to the barometric altitude read by the aircraft. It is automatically reset to 0 when the barometer is calibrated on each reboot or when a preflight calibration is performed.,0,1,MAV_PARAM_UNIT.Meters,null,true,"GND_ALT_OFFSET(0,1,MAV_PARAM_UNIT.Meters,null,true,"""",""altitude offset in meters added to barometric altitude. This is used to allow for automatic adjustment of the base barometric altitude by a ground station equipped with a barometer. The value is added to the barometric altitude read by the aircraft. It is automatically reset to 0 when the barometer is calibrated on each reboot or when a preflight calibration is performed.""),"
GND_TEMP,29.32966,,Degrees-Celsius,,FALSE,,calibrated ground temperature in degrees Celsius,29.32966,1,MAV_PARAM_UNIT.Degrees_Celsius,null,true,"GND_TEMP(29.32966,1,MAV_PARAM_UNIT.Degrees_Celsius,null,true,"""",""calibrated ground temperature in degrees Celsius""),"
